STRUCTURE_CODE,COD_ASL,NAME,WEBSITE,EMAIL,MUNICIPALITY,ADDRESS,CAP,PHONE,SERVICE_NAME,MANAGEMENT_TYPE,LATITUDE,LONGITUDE
STR042101051600S06,101,SER.T,www.apss.tn.it,SertTrento@apss.tn.it,TRENTO,VIA GOCCIADORO  47,38122,461364777,ASSISTENZA PER TOSSICODIPENDENTI,STRUTTURA DIRETTAMENTE GESTITA,46.057068,11.129975
STR042101051800S02,101,TECNOMED S.R.L.,,info@tecnomed-trento.it,TRENTO,VIA PAOLO BORSELLINO  3,38122,461230005,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,STRUTTURA NON DIRETTAMENTE GESTITA,46.047484,11.1283753
STR042101051900S04,101,CONSULTORIO FAMILIARE UCIPEM,,consultorioucipem@virgilio.it,TRENTO,VIA FERRUCCIO  1,38122,461233004,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,STRUTTURA NON DIRETTAMENTE GESTITA,46.068851,11.125927
STR042101052010S06,101,ASSOCIAZIONE CENTRO ANTIDROGA,www.centroantidroga-tn.it,camparta@gmail.com,TRENTO,MASO ZANCANELLA   GARDOLO,38121,461961336,ASSISTENZA PER TOSSICODIPENDENTI,STRUTTURA NON DIRETTAMENTE GESTITA,46.139283,11.131145
STR042101052015S01,101,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA LAVIS - AMB.FKT,www.rsalavis.it,info@apsplavis.it,LAVIS,VIA ORTI  50,38015,461246308,ATTIVITA` CLINICA,STRUTTURA NON DIRETTAMENTE GESTITA,46.136261,11.111185
STR042101052022S11,101,CENTRO DIURNO SOCIO RIAB. PER DISABILI ANFFAS - IL PAESE DI OZ - TRENTO,www.ilpaesedioz.anffas.tn.it,ilpaesedioz@anffas.tn.it,TRENTO,VIA AOSTA  1   VIA FERMI  40,38122,461923725,ASSISTENZA AI DISABILI PSICHICI,STRUTTURA NON DIRETTAMENTE GESTITA,11.128063,46.056658
STR042101052023S07,101,CTS - COMUNITA' ACCOGLIENZA AIDS,www.citiesse.org,info@citiesse.org,TRENTO,LAMAR DI GARDOLO,38122,461933179,ASSISTENZA AIDS,STRUTTURA NON DIRETTAMENTE GESTITA,46.118392,11.10613
STR042101052024S10,101,CENTRO DIURNO SOCIO RIAB. PER DISABILI FRANCA MARTINI - A.T.S.M. - TRENTO,www.atsm-cfm.org,atsmtn@libero.it;info@atsm.191.tn.it,TRENTO,VIA T  TARAMELLI  8/C    VIA DEGASPERI  126/2,38121,4611788701,ASSISTENZA AI DISABILI FISICI,STRUTTURA NON DIRETTAMENTE GESTITA,46.06128,11.116986
STR042101052025S11,101,COMUNITA' SOCIOSANIT. PER MINORI- GRUPPO APPARTAMENTO LOC. CAMPOTRENTINO,www.appm.it,residenzialecampotrentino@appm.it,TRENTO,VIA ZAMBRA  11,38121,461829896,ASSISTENZA AI DISABILI PSICHICI,STRUTTURA NON DIRETTAMENTE GESTITA,46.0916099,11.1179487
STR042101052026S01,101,"ASSOCIAZIONE TRENTINA SCLEROSI MULTIPLA, ONLUS",www.atsm-cfm.org,atsmtn@libero.it,TRENTO,VIA TARAMELLI  8/C,38122,461238111,ATTIVITA` CLINICA,STRUTTURA NON DIRETTAMENTE GESTITA,46.06128,11.116986
STR042101052027S01,101,ANFFAS TRENTINO ONLUS,www.anffas.tn.it,ilpaesedioz@anffas.tn.it,TRENTO,VIA AOSTA  1,38123,461407511,ATTIVITA` CLINICA,STRUTTURA NON DIRETTAMENTE GESTITA,46.056699,11.128047
STR042101052028S01,101,COOPERATIVA SOCIALE IRIFOR DEL TRENTINO ONLUS,www.irifor.it,segreteria@irifor.it,TRENTO,VIA DELLA MALVASIA  15,38122,4611959595,ATTIVITA` CLINICA,STRUTTURA NON DIRETTAMENTE GESTITA,46.077818,11.123928
STR042101052029S11,101,ASSOCIAZIONE CENTRO ANTIDROGA ONLUS-COMUNITA' TERAP. PER LA CURA DEI DISTURBI ALIMENTARI,www.centrocuradisturbialimentari-tn.it,amministrazionecad@gmail.com,TRENTO,VIA PALAZZINE   MASO ZANCANELLA,38122,461960338,ASSISTENZA AI DISABILI PSICHICI,STRUTTURA NON DIRETTAMENTE GESTITA,46.114409,11.104479
STR042101052100S01,101,AGSAT ASSOCIAZIONE GENITORI SOGGETTI AUTISTICI TRENTINI,www.agsat.org,segreteria@agsat.org,TRENTO,VIA MARONI  15,38122,461420351,ATTIVITA` CLINICA,STRUTTURA NON DIRETTAMENTE GESTITA,46.076842,11.114704
STR042101052103S01,101,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA POVO - AMB. FKT,www.apspgrazioli.it,info@apspgrazioli.it,TRENTO,VIA DELLA RESISTENZA  63   FR  POVO,38123,461810688,ATTIVITA` CLINICA,STRUTTURA NON DIRETTAMENTE GESTITA,46.068501,11.160766
STR042101052200S06,101,COMUNITA' DI ACCOGLIENZA CASA DI GIANO,www.giano.org,accoglienza@citiesse.org,VALLELAGHI,VIA DI MAIANO  55   LOCALITA  S  MASSENZA,38070,461864106,ASSISTENZA PER TOSSICODIPENDENTI,STRUTTURA NON DIRETTAMENTE GESTITA,46.075294,10.984083
STR042101052300S06,101,COMUNITA' TERAPEUTICA CASA DI GIANO,www.citiesse.org,comunita@citiesse.org,VALLELAGHI,VIA DI MAIANO  55   LOCALITA  S MASSENZA,38070,461864106,ASSISTENZA PER TOSSICODIPENDENTI,STRUTTURA NON DIRETTAMENTE GESTITA,46.075294,10.984083
STR042101052400S01,101,CST TRENTO,www.csttrento.it,info@csttrento.it,TRENTO,VIA G B  TRENER  2/2,38121,461830596,ATTIVITA` CLINICA,STRUTTURA NON DIRETTAMENTE GESTITA,46.093287,11.114829
STR042101052400S02,101,CST TRENTO,www.csttrento.it,info@csttrento.it,TRENTO,VIA G B  TRENER  2/2,38121,461830596,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,STRUTTURA NON DIRETTAMENTE GESTITA,46.093287,11.114829
STR042101055500S01,101,A.P.S.P. 'BEATO DE TSCHIDERER' - AMB. LOGO-AUDIOP.,www.iaps.it,info@iaps.it,TRENTO,VIA PIAVE  108,38122,461273414,ATTIVITA` CLINICA,STRUTTURA NON DIRETTAMENTE GESTITA,46.063465,11.126997
STR042101060202S05,101,CENTRO SALUTE MENTALE CLES,www.apss.tn.it,luisa.ossana@apss.tn.it,CLES,VIALE DEGASPERI  47,38023,463660272,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,46.36036,11.0302308
STR042101060203S01,101,CENTRO DIALISI CLES,www.apss.tn.it,,CLES,VIALE DEGASPERI  31,38023,463660263,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,46.3608,11.0323
STR042101060402S01,101,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA ANAUNIA  - AMB. FKT,www.apsptaio.org,info@apsptaio.org,PREDAIA,VIA THOMAS A  EDISON  20   LOC  TAIO,38012,463467617,ATTIVITA` CLINICA,STRUTTURA NON DIRETTAMENTE GESTITA,46.324779,11.065975
STR042101060701S04,101,CONSULTORIO CLES,www.apss.tn.it,consultorio.familiare.cles@apss.tn.it,CLES,VIA ROMANA  55,38023,463422132,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,STRUTTURA DIRETTAMENTE GESTITA,46.362556,11.037079
STR042101070101S01,101,POLIAMBULATORIO MALE`,www.apss.tn.it,,MALÈ,VIA 4 NOVEMBRE  8,38027,463909400,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,46.350194,10.910061
STR042101070201S04,101,CONSULTORIO MALE',www.apss.tn.it,,MALÈ,VIA IV NOVEMBRE  8,38027,463909419,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,STRUTTURA DIRETTAMENTE GESTITA,46.350194,10.910061
STR042101071401S08,101,PEJO TERME NATURA SRL,www.termepejo.it,info@termepejo.it,PEIO,VIA DELLE ACQUE ACIDULE  3,38024,463753226,ASSISTENZA IDROTERMALE,STRUTTURA NON DIRETTAMENTE GESTITA,46.354034,10.662855
STR042101071501S08,101,TERME DI RABBI S.R.L.,www.termedirabbi.it,info@termedirabbi.it,RABBI,LOCALITÀ FONTI DI RABBI  162,38020,463983000,ASSISTENZA IDROTERMALE,STRUTTURA NON DIRETTAMENTE GESTITA,46.410715,10.818701
STR042101080101S01,101,PRESIDIO OSPEDALIERO TIONE,www.apss.tn.it,domenico.gaetano@apss.tn.it,TIONE DI TRENTO,VIA OSPEDALE  11,38079,465331256,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,46.0413,10.7244
STR042101080101S02,101,PRESIDIO OSPEDALIERO TIONE,www.apss.tn.it,domenico.gaetano@apss.tn.it,TIONE DI TRENTO,VIA OSPEDALE  11,38079,465331256,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,STRUTTURA DIRETTAMENTE GESTITA,46.0413,10.7244
STR042101080101S03,101,PRESIDIO OSPEDALIERO TIONE,www.apss.tn.it,domenico.gaetano@apss.tn.it,TIONE DI TRENTO,VIA OSPEDALE  11,38079,465331256,ATTIVITA` DI LABORATORIO,STRUTTURA DIRETTAMENTE GESTITA,46.0413,10.7244
STR042101080102S05,101,CENTRO SALUTE MENTALE TIONE,,csmtione@apss.tn.it,TIONE DI TRENTO,VIA OSPEDALE  8,38079,465339717,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,46.041425,10.725921
STR042101080104S04,101,CONSULTORIO FAMILIARE TIONE,www.apss.tn.it,consultorio.familiare.tione@apss.tn.it,TIONE DI TRENTO,VIA DELLA CROS  4,38079,465331530,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,STRUTTURA DIRETTAMENTE GESTITA,46.040784,10.726615
STR042101080105S01,101,CENTRO DIALISI TIONE,www.apss.tn.it,,TIONE DI TRENTO,VIA OSPEDALE  11,38081,465331370,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,46.0413,10.7244
STR042101080204S01,101,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA CONDINO - AMB. FKT,www.rosadeiventi.tn.it,upipa.condino@mail.infotn.it,BORGO CHIESE,VIA C  BATTISTI  6,38063,465621047,ATTIVITA` CLINICA,STRUTTURA NON DIRETTAMENTE GESTITA,45.889396,10.598116
STR042101081706S11,101,CENTRO DIURNO PER ADULTI BERSONE,,graziascaglia@libero.it,VALDAONE,VIA CHIESA  4   LOC  BERSONE,38080,3299060064,ASSISTENZA AI DISABILI PSICHICI,STRUTTURA NON DIRETTAMENTE GESTITA,45.944457,10.633156
STR042101081801S08,101,TERME DI COMANO - AZIENDA CONSORZIALE,www.termecomano.it,informazioni@termecomano.it,COMANO TERME,VIA CESARE BATTISTI 161,38077,465701277,ASSISTENZA IDROTERMALE,STRUTTURA NON DIRETTAMENTE GESTITA,46.038914,10.874438
STR042101081802S01,101,AZIENDA CONSORZIALE TERME DI COMANO,www.termecomano.it,informazioni@termecomano.it,COMANO TERME,VIA CESARE BATTISTI 161,38077,465701277,ATTIVITA` CLINICA,STRUTTURA NON DIRETTAMENTE GESTITA,46.038914,10.874438
STR042101081902S01,101,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA STORO - AMB. FKT,,rsastoro@gmail.it,STORO,VIA SETTE PIEVI  9,38089,465686018,ATTIVITA` CLINICA,STRUTTURA NON DIRETTAMENTE GESTITA,45.848487,10.57462
STR042101081903S01,101,CASA PER LA SALUTE DI STORO,,,STORO,VIA DELLE SETTE PIEVI  22,38089,465331441,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,45.846926,10.574433
STR042101082001S08,101,TERME VAL RENDENA -  FONTE S. ANTONIO S.P.A.,www.fontevalrendena.it,info@fontevalrendena.it,CADERZONE TERME,VIA DAMIANO CHIESA  2,38080,465806069,ASSISTENZA IDROTERMALE,STRUTTURA NON DIRETTAMENTE GESTITA,46.129975,10.756592
STR042101082102S01,101,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA PINZOLO - AMB. FKT,www.apsp-pinzolo.it,segreteria@apsp-pinzolo.it,PINZOLO,VIA GENOVA  84,38086,465503665,ATTIVITA` CLINICA,STRUTTURA NON DIRETTAMENTE GESTITA,46.159175,10.76201
STR042101091001S01,101,POLIAMBULATORIO SPECIALISTICO,www.apss.tn.it,stefania.rossi@apss.tn.it,RIVA DEL GARDA,VIA ROSMINI  5/B,38066,464582729,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,45.890308,10.840401
STR042101091003S04,101,CONSULTORIO RIVA DEL GARDA,www.apss.tn.it,marina.bassetti@apss.tn.it,RIVA DEL GARDA,VIA ROSMINI  5/B,38066,464582706,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,STRUTTURA DIRETTAMENTE GESTITA,45.890308,10.840401
STR042101091101S01,101,CASA DI CURA EREMO,www.eremoarco.it,info@eremoarco.it,ARCO,VIA XXI APRILE  1,38062,464588666,ATTIVITA` CLINICA,STRUTTURA NON DIRETTAMENTE GESTITA,45.919481,10.870444
STR042101091101S02,101,CASA DI CURA EREMO,www.eremoarco.it,info@eremoarco.it,ARCO,VIA XXI APRILE  1,38062,464588666,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,STRUTTURA NON DIRETTAMENTE GESTITA,45.919481,10.870444
STR042101091201S01,101,PRESIDIO OSPEDALIERO ARCO,www.apss.tn.it,,ARCO,VIA CAPITELLI  48,38062,464582774,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,45.9192,10.8741
STR042101091201S02,101,PRESIDIO OSPEDALIERO ARCO,www.apss.tn.it,,ARCO,VIA CAPITELLI  48,38062,464582774,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,STRUTTURA DIRETTAMENTE GESTITA,45.9192,10.8741
STR042101091201S03,101,PRESIDIO OSPEDALIERO ARCO,www.apss.tn.it,,ARCO,VIA CAPITELLI  48,38062,464582774,ATTIVITA` DI LABORATORIO,STRUTTURA DIRETTAMENTE GESTITA,45.9192,10.8741
STR042101091202S01,101,CENTRO DIALISI ARCO,www.apss.tn.it,,ARCO,VIA CAPITELLI  48,38062,464582294,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,45.9192,10.8741
STR042101091301S01,101,IST.RIAB.S.STEFANO-U.O. OSP. S.PANCRAZIO,www.ospedalesanpancrazio.it,info@ospedalesanpancrazio.it,ARCO,VIA DAMIANO CHIESA  2,38062,464586200,ATTIVITA` CLINICA,STRUTTURA NON DIRETTAMENTE GESTITA,45.921304,10.882587
STR042101091401S05,101,CENTRO SALUTE MENTALE ARCO,www.apss.tn.it,csm@arc.apss.tn.it,ARCO,LARGO ARCIDUCA ALBERTO D ASBURGO  1,38062,464582280,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,45.918763,10.882606
STR042101100101S01,101,PRESIDIO OSPEDALIERO S.MARIA DEL CARMINE,www.apss.tn.it,,ROVERETO,CORSO VERONA  4,38068,464403218,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,45.8818,11.0407
STR042101100101S02,101,PRESIDIO OSPEDALIERO S.MARIA DEL CARMINE,www.apss.tn.it,,ROVERETO,CORSO VERONA  4,38068,464403218,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,STRUTTURA DIRETTAMENTE GESTITA,45.8818,11.0407
STR042101100101S03,101,PRESIDIO OSPEDALIERO S.MARIA DEL CARMINE,www.apss.tn.it,,ROVERETO,CORSO VERONA  4,38068,464403218,ATTIVITA` DI LABORATORIO,STRUTTURA DIRETTAMENTE GESTITA,45.8818,11.0407
STR042101100102S05,101,CENTRO SALUTE MENTALE ROVERETO,www.apss.tn.it,alfredo.vivaldelli@apss.tn.it,ROVERETO,P ZZALE S MARIA  6,38068,464403531,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,45.883398,11.042005
STR042101100103S01,101,CENTRO DIALISI ROVERETO,www.apss.tn.it,,ROVERETO,CORSO VERONA  4,38068,464403541,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,45.8818,11.0407
STR042101100104S05,101,CENTRO DIURNO PSICHIATRICO ROVERETO,www.apss.tn.it,alfredo.vivaldelli@apss.tn.it,ROVERETO,PIAZZALE S MARIA  6,38068,464403531,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,45.883398,11.042005
STR042101100106S01,101,NEUROPSICHIATRIA INFANTILE - UONPI 2,www.apss.tn.it,npi.rovereto@apss.tn.it,ROVERETO,PIAZZALE S MARIA  6,38068,464403523,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,45.883398,11.042005
STR042101100107S01,101,UNITA' OPERATIVA N.2 DI PSICOLOGIA,www.apss.tn.it,giuseppe.vivaldelli@apss.tn.it,ROVERETO,P ZZA LEONI  11/A,38068,464403735,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,45.887888,11.038134
STR042101100301S01,101,CERIN (CENTRO RIABILITAZIONE NEUROCOGNITIVA),http://portale.unitn.it/centre/cimec/cerin.htm,cerin@cimec.unitn.it,ROVERETO,VIA  MATTEO DEL BEN  5,38060,464808152,ATTIVITA` CLINICA,STRUTTURA NON DIRETTAMENTE GESTITA,45.892397,11.03569
STR042101100801S01,101,POLIAMBULATORIO ROVERETO,www.apss.tn.it,silvano.zanoni@apss.tn.it,ROVERETO,VIA S GIOVANNI BOSCO  6,38068,464403631,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,45.892086,11.041274
STR042101100801S02,101,POLIAMBULATORIO ROVERETO,www.apss.tn.it,silvano.zanoni@apss.tn.it,ROVERETO,VIA S GIOVANNI BOSCO  6,38068,464403631,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,STRUTTURA DIRETTAMENTE GESTITA,45.892086,11.041274
STR042101100802S04,101,CONSULTORIO FAMILIARE ROVERETO,www.apss.tn.it,,ROVERETO,VIA S  GIOVANNI BOSCO  6,38068,464403675,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,STRUTTURA DIRETTAMENTE GESTITA,45.892086,11.041274
