COD_STRUTTURA_OD,STRUTTURA,ASSISTENZA,TIPO_RAPPORTO,NUM_UTENTI,NUM_POSTI,NUM_AMMISSIONI,NUM_DIMISSIONI,CareType,NumAssistanceDays,INDIRIZZO,CAP,COMUNE,TELEFONO,E_MAIL,SITO_WEB,LATITUDINE_P,LONGITUDINE_P,COMUNE
STR042101052008S09,RSA - SPES VILLA BELFONTE - TRENTO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,96,77,19.0,18.0,Residential,28085,VIA VILLA BELFONTE  12,38123,TRENTO,461920294,villabelfonte@gruppospes.it,www.gruppospes.it,46.045064,11.150021,TRENTO
STR042101052009S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA LAVIS,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,150,92,61.0,62.0,Residential,33580,VIA ORTI  50,38015,LAVIS,461246308,info@rsalavis.it,www.rsalavis.it,46.136261,11.111185,LAVIS
STR042101052011S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA CIVICA ANGELI CUSTODI,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,175,108,89.0,88.0,Residential,39116,VIA DELLA COLLINA  2,38121,TRENTO,461207711,segreteria@civicatnapsp.it,www.civicatnapsp.it,46.069457,11.130534,TRENTO
STR042101052012S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA CIVICA GABBIOLO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,91,56,37.0,37.0,Residential,20254,VIA ZNOJMO  16   GABBIOLO DI POVO,38123,TRENTO,461911517,segreteria@civicatnapsp.it,www.civicatnapsp.it,46.051609,11.149423,TRENTO
STR042101052013S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA CIVICA GARDOLO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,132,70,74.0,75.0,Residential,25257,VIA AEROPORTO  38   GARDOLO,38121,TRENTO,461950080,segreteria@civicatnapsp.it,www.civicatnapsp.it,46.107495,11.100706,TRENTO
STR042101052021S11,CASA SERENA - ANFFAS -CENTRO RESIDENZIALE DISABILI - TRENTO,ASSISTENZA AI DISABILI PSICHICI,STRUTTURA NON DIRETTAMENTE GESTITA,75,47,159.0,160.0,Residential,17155,VIA G B  TRENER  8,38121,TRENTO,461407511,associazione@anffas.tn.it,www.anffas.tn.it,11.114954,46.093598,TRENTO
STR042101055401S09,RSA - SPES CASA FAMIGLIA - TRENTO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,110,62,54.0,50.0,Residential,22630,VIA DELLA COLTURA 138   LOC  CADINE,38123,TRENTO,461236566,casafamiglia@gruppospes.it,www.gruppospes.it,46.065503,11.120083,TRENTO
STR042101056000S09,RSA VALLE DI CEMBRA,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,113,68,55.0,54.0,Residential,24820,LOC  BEDIN  4,38030,CEMBRA LISIGNAGO,461680055,valledicembra@gruppospes.it,www.gruppospes.it,46.161795,11.198441,CEMBRA LISIGNAGO
STR042101060401S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA ANAUNIA,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,81,43,40.0,39.0,Residential,15695,VIA THOMAS A  EDISON  20   LOC  TAIO,38012,PREDAIA,463467617,info@apsptaio.org,www.apsptaio.org,46.324779,11.065975,PREDAIA
STR042101060501S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA CLES,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,198,120,76.0,77.0,Residential,43800,VIA CHINI  37,38023,CLES,463601311,info@apspcles.it,www.apspcles.it,46.364397,11.029533,CLES
STR042101060601S09,RSA - STELLA MONTIS - FONDO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,81,52,31.0,30.0,Residential,18915,VIA S LUCIA  11,38050,FONDO,463832664,stellamontis@consolida.it,www.upipa.tn.it,46.440599,11.135037,FONDO
STR042101060801S05,"APPARTAMENTO PROTETTO ""IL MELO""",ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,4,6,4.0,4.0,Residential,190,VIA TRENTO  42,38023,CLES,463421701, ,www.apss.tn.it,46.3558562,11.0386847,CLES
STR042101060901S05,APPARTAMENTO PROTETTO,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,1,5,1.0,1.0,Residential,11,VIA  SAN VITO,38023,CLES,463422901, ,www.apss.tn.it,46.362225,11.0263984,CLES
STR042101061001S11,COMUNITA' RESIDENZIALE TEMPORANEA VALLE APERTA,ASSISTENZA AI DISABILI PSICHICI,STRUTTURA NON DIRETTAMENTE GESTITA,133,8,561.0,562.0,Residential,2072,VIA EUROPA 4   LOC  PONCIACH DI FAVER,38030,ALTAVALLE,461683318,amministrazione@associazionevalleaperta.it,www.associazionevalleaperta.it,46.202738,11.232117,ALTAVALLE
STR042101070301S05,APPARTAMENTO PROTETTO,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,3,7,0.0,0.0,Residential,991,VIA MILANO  4,38027,MALÈ,463901040, ,www.apss.tn.it,46.349042,10.910357,MALÈ
STR042101071201S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA MALE',ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,104,82,20.0,19.0,Residential,29930,VIALE 4 NOVEMBRE 4/A,38027,MALÈ,463902062,amministrazione@pec.centroservizimale.it,www.centroservizimale.it,46.356643,10.907661,MALÈ
STR042101071301S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA PELLIZZANO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,100,61,42.0,43.0,Residential,22164,VIA DEI BASCHENIS  6,38024,PELLIZZANO,463751266,info@apsp-pellizzano.it,www.apsp-pellizzano.it,46.310982,10.907993,PELLIZZANO
STR042101080103S09,APSS - RSO TIONE,ASSISTENZA AGLI ANZIANI,STRUTTURA DIRETTAMENTE GESTITA,116,22,101.0,100.0,Residential,6743,C/O OSPEDALE,38079,TIONE DI TRENTO,465331231, ,www.apss.tn.it,46.0413,10.7244,TIONE DI TRENTO
STR042101080202S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA CONDINO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,92,65,29.0,30.0,Residential,23655,VIA BATTISTI  6,38083,BORGO CHIESE,465621047,upipa.condino@mail.infotn.it,www.rosadeiventi.tn.it,45.889396,10.598116,BORGO CHIESE
STR042101080203S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA SPIAZZO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,144,111,34.0,36.0,Residential,40377,VIA S VIGILIO  13,38088,SPIAZZO,465803111,segreteria@casariposospiazzo.it,www.casariposospiazzo.it,46.10398,10.736351,SPIAZZO
STR042101080301S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA BLEGGIO SUPERIORE,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,174,122,56.0,57.0,Residential,44530,FR S CROCE  41,38071,BLEGGIO SUPERIORE,465779824,segreteria@apspgiudicarieesteriori.it,www.apspgiudicarieesteriori.it,46.038446,10.836639,BLEGGIO SUPERIORE
STR042101081700S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA PIEVE DI BONO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,86,67,21.0,19.0,Residential,24396,FRAZIONE STRADA  1,38085,PIEVE DI BONO-PREZZO,465674030,mail@rsapdb.it,www.apsppievedibono.it,45.946465,10.644529,PIEVE DI BONO-PREZZO
STR042101081705S11,COMUNITA' RESIDENZIALE TEMPORANEA - BERSONE,ASSISTENZA AI DISABILI PSICHICI,STRUTTURA NON DIRETTAMENTE GESTITA,8,6,2.0,4.0,Residential,1564,VIA CHIESA  4 LOC  BERSONE,38080,VALDAONE,3299060064,graziascaglia@libero.it, ,45.944457,10.633156,VALDAONE
STR042101081901S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA STORO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,77,56,20.0,18.0,Residential,20440,VIA SETTE PIEVI  9,38089,STORO,465686018,rsastoro@gmail.com,www.comune.storo.tn.it,45.848487,10.57462,STORO
STR042101082101S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA PINZOLO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,98,61,41.0,41.0,Residential,22265,VIA GENOVA  84,38086,PINZOLO,465503665,segreteria@apsp-pinzolo.it,www.apsp-pinzolo.it,46.159175,10.76201,PINZOLO
STR042101091004S05,COMUNITA' TERAPEUTICA RIABILITATIVA - VILLA ISCHIA,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,15,10,12.0,13.0,Residential,1377,LOCALITA  ISCHIA  36,38066,RIVA DEL GARDA,464557177,info@coopmimosa.com,www.coop.mimosa.com,10.849873,45.898443,RIVA DEL GARDA
STR042101091005S11,COMUNITA' RESIDENZIALE - APP. SEMI PROTETTO - BOLOGNANO,ASSISTENZA AI DISABILI PSICHICI,STRUTTURA NON DIRETTAMENTE GESTITA,2,5,0.0,1.0,Residential,467,VIALE ROVERETO  32   BOLOGNANO,38062,ARCO,464531828,arcobaleno@pop.ftcoop.it,www.arcobalenocoop.org,45.912966,10.897183,ARCO
STR042101092000S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA BEZZECCA,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,76,58,18.0,18.0,Residential,21104,VIA G  CIS  45  BEZZECCA,38060,LEDRO,464591042,segreteria@apspgiacomocis.it,www.apspgiacomocis.it,45.917721,10.715561,LEDRO
